cohort,cancer,source,target,a,lcb,expected
control,icd_191,icd_432,icd_349,1.2216993506722533,0.8749571385532212,0.5670905842485183
control,icd_205,icd_284,icd_288,3.282708146314837,3.2341626612170318,3.5381376684573524
control,icd_205,icd_288,icd_284,3.686951991298808,3.6417391214469355,5.746637341278529
control,icd_205,icd_284,icd_999,3.262840003161978,3.168539923362558,0.573173052537733
control,icd_205,icd_999,icd_284,2.570551975586533,2.3656689432789286,0.8692911590248258
control,icd_205,icd_284,icd_289,1.5238298381624336,1.2713505930704794,0.4856345143279768
control,icd_205,icd_289,icd_284,2.3335741243673955,2.133767470008705,1.1690389257753395
control,icd_205,icd_284,icd_283,4.4029977863976075,4.276856959625365,0.5263858808515636
control,icd_205,icd_283,icd_284,4.407845269150237,4.2983952971124655,0.49672122295815413
control,icd_205,icd_284,icd_287,2.928340867068048,2.7867780616142808,1.43526231569993
control,icd_205,icd_287,icd_284,3.9426202236720402,3.897490106156475,4.513380339813921
control,icd_205,icd_284,icd_273,2.082497065339055,1.9106080659237232,1.4971450078967337
control,icd_205,icd_273,icd_284,1.8860195604839136,1.6187163707279313,0.9670440128821411
control,icd_205,icd_V42,icd_284,1.3907835840428815,0.8905296047057476,0.4716628324947081
control,icd_205,icd_288,icd_999,2.203723210569824,2.1070731326879204,1.609321832111128
control,icd_205,icd_999,icd_288,1.6876654762702956,1.5614867562505583,2.6852216050640862
control,icd_205,icd_288,icd_289,1.7991599526137365,1.7310245496705485,5.178568032717266
control,icd_205,icd_289,icd_288,2.2982079764610703,2.2454829750405354,8.427860034160403
control,icd_205,icd_288,icd_283,2.6851194924931976,2.43529078046795,0.7648298739159642
control,icd_205,icd_283,icd_288,1.6906210584997718,1.268595631862239,0.24506695122398625
control,icd_205,icd_288,icd_287,2.821116927259097,2.7651105547884542,10.439754490568305
control,icd_205,icd_287,icd_288,1.9883278367520432,1.9071846413490523,4.775416828370055
control,icd_205,icd_288,icd_273,1.9473481110342543,1.8774180350685328,10.589982368052517
control,icd_205,icd_273,icd_288,1.6937601592511724,1.6112421509875463,5.959319078298506
control,icd_205,icd_V42,icd_288,1.0295321402686364,0.8466684382672177,2.4546506625864595
control,icd_205,icd_999,icd_289,1.289692100139987,1.1214132959634362,1.4373035176473223
control,icd_205,icd_289,icd_999,1.8010804358014976,1.6360169625692385,0.8471438985095574
control,icd_205,icd_999,icd_283,3.110837549290688,2.868649442535138,0.5408162975524711
control,icd_205,icd_999,icd_287,1.1709940340443805,0.7382069388184587,0.926080667804392
control,icd_205,icd_287,icd_999,1.2923148552660542,0.9823863360725441,0.39343781751037454
control,icd_205,icd_999,icd_273,0.9319364833835029,0.6454863113274336,1.7721706534685353
control,icd_205,icd_273,icd_999,1.302182430908494,1.0697250090965902,0.6656964046274538
control,icd_205,icd_V42,icd_999,1.1614186148068173,0.8562185947787959,0.46281443427474755
control,icd_205,icd_289,icd_283,3.193154150738787,3.021525882508931,1.00087865321575
control,icd_205,icd_283,icd_289,2.3809922563440726,2.1914440499113423,0.3895070668086724
control,icd_205,icd_289,icd_287,2.617771103784716,2.539404186156226,6.707458894592492
control,icd_205,icd_287,icd_289,2.2929468335160217,2.2393470080184654,5.160736333616967
control,icd_205,icd_289,icd_273,1.626304094963438,1.5162326131468287,6.048497131761906
control,icd_205,icd_273,icd_289,1.3312811106660298,1.225068306102662,3.3050661403329684
control,icd_205,icd_283,icd_287,3.4063211849536663,3.2510395859627357,0.7878802998596797
control,icd_205,icd_287,icd_283,4.630098752393286,4.584053147983783,3.253205861630846
control,icd_205,icd_283,icd_273,2.135427363006778,1.847013671405009,0.5372740559384077
control,icd_205,icd_273,icd_283,1.4729922603477368,0.6532644710261322,0.23190603494709805
control,icd_205,icd_287,icd_273,1.65775925188527,1.5373470393636464,4.821489583428047
control,icd_205,icd_273,icd_287,1.1828431878504526,0.9014344394481977,2.067115065099898
full,icd_183,icd_620,icd_568,2.3127705084042596,2.288278862608281,3.8719266636716725
full,icd_183,icd_568,icd_620,1.728981136532305,1.5066902394845245,2.1843877535924463
full,icd_183,icd_620,icd_V72,1.0938957145694381,1.0660687664134354,107.85112479101736
full,icd_183,icd_V72,icd_620,0.659560753305664,0.6169490786790681,129.6143963170607
full,icd_183,icd_620,icd_789,1.1847584102730062,1.1521015979903861,73.56163748572999
full,icd_183,icd_789,icd_620,1.1744579427799506,1.1436240465147949,154.0129886147679
full,icd_183,icd_620,icd_625,1.6968508271778573,1.6603610247402258,82.45125359091617
full,icd_183,icd_625,icd_620,2.385912149687619,2.3701896342032196,177.37558109672864
full,icd_183,icd_V72,icd_568,1.1179833625950648,1.091250100561028,9.800788592661547
full,icd_183,icd_568,icd_789,1.9242328704535139,1.8459250354132277,7.4517351755096115
full,icd_183,icd_789,icd_568,2.0074423387209626,1.9941414138176234,16.93694381842556
full,icd_183,icd_625,icd_568,1.649706043461883,1.6171324119526755,4.061447243346464
full,icd_183,icd_625,icd_V72,0.8522358497704942,0.8279529741319722,172.42174833356148
full,icd_183,icd_789,icd_625,0.8966529484796679,0.8641476234370143,219.8801666104173
full,icd_183,icd_625,icd_789,0.984235763949404,0.9568866901917646,122.54185716577103
full,icd_157,icd_577,icd_576,3.891916449663184,3.8719779783417843,32.20984661420198
full,icd_157,icd_576,icd_577,3.3428560272849297,3.292104430837281,12.46609383107375
full,icd_157,icd_577,icd_452,2.9748253224455787,2.8302132109752107,0.847836670742268
full,icd_157,icd_452,icd_577,1.628019526473174,0.5581599287740295,0.15282377920960766
full,icd_157,icd_577,icd_751,2.615255250248934,2.5420345141698415,0.7593147444637509
full,icd_157,icd_751,icd_577,3.027319914682213,2.8759927853753737,2.169293432173845
full,icd_157,icd_577,icd_573,1.80106715861627,1.7492203904947305,8.345483841791292
full,icd_157,icd_573,icd_577,1.7176110987818156,1.572624272360832,7.4211304459945495
full,icd_157,icd_577,icd_537,2.368535555433631,2.3117788387505716,3.315957246037499
full,icd_157,icd_537,icd_577,2.0192286224236393,1.7845079636312935,2.2431223937047093
full,icd_157,icd_577,icd_531,1.6619129447224381,1.465965350922672,1.038265936126976
full,icd_157,icd_531,icd_577,1.5830105249878477,1.0975372028984582,0.7945071813229987
full,icd_157,icd_577,icd_575,2.6961390516125006,2.6462813262171974,12.255299036696442
full,icd_157,icd_575,icd_577,2.0256002996889038,1.872120074336807,5.403365741329196
full,icd_157,icd_576,icd_452,3.4355379547210556,3.276154324998746,0.4444154667930462
full,icd_157,icd_452,icd_576,2.1663901744344005,1.424165000638558,0.12918094923370038
full,icd_157,icd_576,icd_751,3.6583219512805143,3.613244415392143,0.7125441351807211
full,icd_157,icd_751,icd_576,4.018289372839362,3.9515219608961396,2.883281077700488
full,icd_157,icd_576,icd_573,2.4500627575055165,2.4027268474399195,5.280785086283458
full,icd_157,icd_573,icd_576,2.6282623444298094,2.558942427955446,9.102422874312651
full,icd_157,icd_576,icd_537,2.3221075512650162,2.2182340104330374,1.0467362492726409
full,icd_157,icd_537,icd_576,2.0574719548636256,1.7889605236269552,1.1498943398433
full,icd_157,icd_576,icd_531,1.3496324892293603,0.8818050193969467,0.25123424440957365
