cohort,cancer,cancer_label,side,rank,source,source_label,modality,a,lcb,specificity,expected,tier
full,icd_157,Malignant neoplasm of pancreas,cross_modal,1,med_253170,glucagon,med,3.79129435627614,3.743682337124815,2.844636323737209,1.3788273845006387,primary
full,icd_157,Malignant neoplasm of pancreas,cross_modal,2,med_236460,tizanidine,med,3.281191511240225,3.0975336762232364,2.9372376727285805,0.17875595364478514,primary
full,icd_157,Malignant neoplasm of pancreas,cross_modal,3,lab_2039-6_HIGH,Carcinoembryonic Ag [Mass/volume] in Serum or Plasma - high,lab,3.0818438023710173,2.8747551043745045,1.3033187686057655,0.13671097072105987,secondary
full,icd_157,Malignant neoplasm of pancreas,cross_modal,4,med_6406,lipase,med,2.9573946688538975,2.762189854264623,1.9400040878778493,0.2014170898958101,primary
full,icd_157,Malignant neoplasm of pancreas,cross_modal,5,med_743,amylase,med,2.957394668560691,2.7621898539714165,1.9400040878778493,0.2014170898958101,primary
full,icd_157,Malignant neoplasm of pancreas,cross_modal,6,med_8031,protease,med,2.955446796619892,2.7601209648478204,1.919284722280394,0.20175880530415125,primary
full,icd_157,Malignant neoplasm of pancreas,cross_modal,7,med_7300,neomycin,med,2.853438156596244,2.6469680820010844,1.2230649103736897,0.18124249410294624,secondary
full,icd_157,Malignant neoplasm of pancreas,cross_modal,8,med_38413,torsemide,med,2.8401207862514344,2.6141574163253973,2.3714864860604625,0.17764176857983927,primary
full,icd_157,Malignant neoplasm of pancreas,cross_modal,9,med_8516,polyethylene glycols,med,2.6510748819190963,2.490615959074452,1.8864763834700145,0.3921682400135289,primary
full,icd_191,Malignant neoplasm of brain,diagnosis,1,icd_348,Other conditions of brain,icd,3.6917735566476737,3.681055454429744,4.010862642620173,63.535799155783025,primary
full,icd_191,Malignant neoplasm of brain,diagnosis,2,icd_742,Other congenital anomalies of nervous system,icd,3.000045686696561,2.901036492026936,3.623118548369636,1.5678828074439224,primary
full,icd_191,Malignant neoplasm of brain,diagnosis,3,icd_431,Intracerebral hemorrhage,icd,2.6311279424934315,2.5778157122834933,3.5637072344056095,7.461007811825368,primary
